iter	Passed	Remaining
0	158	158806
1	163	81470
2	167	55576
3	169	42179
4	171	34188
5	173	28812
6	176	24968
7	177	22019
8	179	19719
9	180	17898
10	182	16406
11	183	15124
12	184	14032
13	185	13090
14	187	12290
15	188	11622
16	190	10987
17	190	10419
18	192	9915
19	193	9469
20	194	9062
21	195	8697
22	196	8351
23	197	8028
24	198	7729
25	198	7452
26	199	7200
27	201	6980
28	202	6777
29	203	6571
30	204	6377
31	204	6195
32	205	6023
33	206	5864
34	207	5717
35	208	5590
36	209	5458
37	210	5333
38	211	5209
39	212	5091
40	212	4978
41	213	4872
42	214	4770
43	215	4675
44	216	4597
45	217	4508
46	218	4422
47	218	4339
48	219	4261
49	220	4188
50	221	4122
51	222	4059
52	224	4002
53	224	3940
54	225	3877
55	226	3817
56	227	3758
57	227	3702
58	228	3648
59	229	3597
60	231	3559
61	232	3517
62	233	3472
63	234	3425
64	234	3380
65	235	3335
66	236	3295
67	237	3256
68	238	3221
69	239	3184
70	240	3146
71	241	3109
72	242	3074
73	242	3040
74	243	3008
75	245	2984
76	246	2956
77	247	2925
78	248	2895
79	249	2869
80	250	2842
81	251	2816
82	252	2784
83	252	2756
84	253	2729
85	254	2703
86	255	2678
87	256	2653
88	256	2629
89	257	2606
90	258	2582
91	260	2567
92	261	2549
93	262	2530
94	263	2510
95	264	2489
96	265	2467
97	265	2447
98	266	2427
99	267	2407
100	268	2388
101	269	2369
102	269	2350
103	270	2332
104	271	2314
105	272	2296
106	273	2279
107	274	2266
108	275	2254
109	276	2239
110	277	2224
111	278	2209
112	279	2194
113	280	2179
114	281	2164
115	282	2150
116	282	2134
117	283	2119
118	284	2105
119	285	2091
120	286	2078
121	286	2063
122	287	2050
123	288	2037
124	289	2026
125	290	2016
126	291	2003
127	292	1991
128	293	1979
129	294	1967
130	294	1955
131	295	1943
132	296	1932
133	297	1922
134	298	1912
135	299	1905
136	301	1898
137	302	1889
138	303	1879
139	304	1872
140	305	1863
141	306	1851
142	307	1841
143	308	1832
144	309	1822
145	309	1812
146	310	1803
147	311	1793
148	312	1784
149	313	1775
150	314	1766
151	314	1756
152	315	1747
153	316	1738
154	317	1728
155	318	1720
156	319	1714
157	320	1706
158	321	1698
159	322	1690
160	322	1681
161	323	1673
162	324	1665
163	325	1657
164	325	1649
165	326	1641
166	327	1634
167	328	1626
168	329	1620
169	330	1614
170	331	1607
171	332	1599
172	333	1592
173	334	1587
174	335	1581
175	336	1574
176	336	1566
177	337	1560
178	338	1554
179	339	1547
180	340	1540
181	341	1533
182	342	1527
183	342	1521
184	343	1514
185	344	1507
186	345	1500
187	345	1494
188	346	1487
189	347	1480
190	348	1475
191	349	1471
192	350	1465
193	351	1459
194	351	1452
195	352	1446
196	353	1440
197	354	1434
198	354	1428
199	355	1422
200	356	1417
201	357	1411
202	358	1405
203	358	1399
204	359	1394
205	360	1389
206	361	1385
207	362	1379
208	363	1374
209	363	1369
210	365	1365
211	366	1360
212	367	1356
213	367	1351
214	368	1346
215	369	1341
216	370	1336
217	371	1332
218	372	1328
219	373	1324
220	374	1319
221	375	1314
222	375	1309
223	376	1304
224	377	1299
225	378	1295
226	379	1291
227	380	1288
228	381	1284
229	382	1279
230	383	1275
231	384	1271
232	385	1267
233	386	1264
234	387	1260
235	388	1257
236	390	1255
237	390	1251
238	391	1247
239	392	1243
240	393	1239
241	394	1236
242	395	1232
243	396	1228
244	397	1223
245	397	1219
246	398	1215
247	399	1211
248	400	1207
249	400	1202
250	401	1198
251	402	1194
252	403	1190
253	403	1186
254	404	1182
255	405	1178
256	406	1174
257	407	1170
258	407	1166
259	408	1162
260	409	1159
261	410	1156
262	411	1152
263	412	1148
264	412	1145
265	413	1141
266	414	1137
267	415	1134
268	415	1130
269	417	1127
270	417	1124
271	418	1120
272	419	1116
273	420	1113
274	420	1109
275	421	1105
276	422	1102
277	422	1098
278	424	1096
279	425	1094
280	426	1090
281	427	1087
282	427	1084
283	428	1080
284	430	1079
285	430	1075
286	431	1072
287	432	1068
288	433	1065
289	433	1062
290	434	1058
291	435	1055
292	436	1052
293	436	1048
294	437	1045
295	438	1042
296	439	1040
297	440	1037
298	441	1035
299	442	1033
300	443	1031
301	444	1028
302	445	1024
303	446	1021
304	446	1018
305	447	1015
306	448	1012
307	449	1008
308	449	1005
309	450	1002
310	451	999
311	451	996
312	452	993
313	453	990
314	454	988
315	455	985
316	456	982
317	456	979
318	457	976
319	458	974
320	459	972
321	460	969
322	461	966
323	461	963
324	462	961
325	463	958
326	464	955
327	465	953
328	465	950
329	467	948
330	468	945
331	469	943
332	470	942
333	471	939
334	471	936
335	473	934
336	473	932
337	474	929
338	475	926
339	476	924
340	476	921
341	477	918
342	477	915
343	478	912
344	479	910
345	480	907
346	480	904
347	481	902
348	483	901
349	483	898
350	484	895
351	485	893
352	486	891
353	487	888
354	487	886
355	488	883
356	489	881
357	490	878
358	490	876
359	491	873
360	492	871
361	493	869
362	493	866
363	494	864
364	495	861
365	496	859
366	497	857
367	498	856
368	499	853
369	500	851
370	500	849
371	501	846
372	502	844
373	503	842
374	503	839
375	504	837
376	505	834
377	506	832
378	506	830
379	507	828
380	508	826
381	509	824
382	510	823
383	512	822
384	513	820
385	514	818
386	515	815
387	516	813
388	516	811
389	517	810
390	518	808
391	519	805
392	520	803
393	521	801
394	522	799
395	522	797
396	523	795
397	524	793
398	525	791
399	525	788
400	526	786
401	528	785
402	528	783
403	529	781
404	530	779
405	531	777
406	531	775
407	532	772
408	533	770
409	534	768
410	534	766
411	535	764
412	536	762
413	537	760
414	537	758
415	538	756
416	539	754
417	540	752
418	540	750
419	541	747
420	542	746
421	543	744
422	544	742
423	544	740
424	545	738
425	546	736
426	547	734
427	547	732
428	548	730
429	549	728
430	549	726
431	550	724
432	551	721
433	552	720
434	552	718
435	553	716
436	554	714
437	555	712
438	555	710
439	556	708
440	557	706
441	558	704
442	559	702
443	559	700
444	560	698
445	561	696
446	561	694
447	562	693
448	563	691
449	563	689
450	564	687
451	565	685
452	566	683
453	566	681
454	567	679
455	568	678
456	569	676
457	569	674
458	570	672
459	571	670
460	571	668
461	572	667
462	573	665
463	574	663
464	575	661
465	575	659
466	576	657
467	577	656
468	577	654
469	578	652
470	579	650
471	579	648
472	580	646
473	581	645
474	582	643
475	583	642
476	584	640
477	584	638
478	585	636
479	585	634
480	586	633
481	587	631
482	588	630
483	589	628
484	590	626
485	590	624
486	591	622
487	592	621
488	592	619
489	593	617
490	594	615
491	594	614
492	595	612
493	596	610
494	597	609
495	597	607
496	598	605
497	599	603
498	599	602
499	600	600
500	601	598
501	601	597
502	602	595
503	603	594
504	604	592
505	605	590
506	605	589
507	606	587
508	607	585
509	608	584
510	608	582
511	609	581
512	610	579
513	611	577
514	611	576
515	612	574
516	613	572
517	613	571
518	614	569
519	615	568
520	616	566
521	616	564
522	617	563
523	618	561
524	619	560
525	619	558
526	620	557
527	621	555
528	622	554
529	623	552
530	624	551
531	624	549
532	625	548
533	626	546
534	626	544
535	627	543
536	628	541
537	629	540
538	630	538
539	630	537
540	631	535
541	632	534
542	633	533
543	634	531
544	635	530
545	635	528
546	636	527
547	637	525
548	638	524
549	639	523
550	640	521
551	641	520
552	642	519
553	642	517
554	643	516
555	644	514
556	645	513
557	646	512
558	648	511
559	649	510
560	650	508
561	650	507
562	651	505
563	653	505
564	654	504
565	655	502
566	656	501
567	657	500
568	658	498
569	659	497
570	660	496
571	661	495
572	662	493
573	664	492
574	665	491
575	666	490
576	667	489
577	668	487
578	669	486
579	669	485
580	670	483
581	671	482
582	672	481
583	673	479
584	674	478
585	675	477
586	676	475
587	677	474
588	678	473
589	680	472
590	681	471
591	681	469
592	682	468
593	683	467
594	684	465
595	685	464
596	685	462
597	686	461
598	687	460
599	688	458
600	689	457
601	689	456
602	690	454
603	691	453
604	692	451
605	693	450
606	694	449
607	695	448
608	695	446
609	696	445
610	697	444
611	698	442
612	699	441
613	700	440
614	701	438
615	701	437
616	702	436
617	703	434
618	704	433
619	705	432
620	707	431
621	710	431
622	710	430
623	711	428
624	712	427
625	713	426
626	714	425
627	716	424
628	717	423
629	718	421
630	718	420
631	719	418
632	720	417
633	721	416
634	721	414
635	722	413
636	724	412
637	725	411
638	726	410
639	727	409
640	728	408
641	729	406
642	730	405
643	731	404
644	731	402
645	732	401
646	733	399
647	733	398
648	734	397
649	735	395
650	735	394
651	736	393
652	737	391
653	738	390
654	739	389
655	740	388
656	741	387
657	742	385
658	742	384
659	743	383
660	744	381
661	744	380
662	745	378
663	746	377
664	747	376
665	747	374
666	748	373
667	749	372
668	749	371
669	750	369
670	751	368
671	752	367
672	753	365
673	754	364
674	755	363
675	756	362
676	757	361
677	757	359
678	758	358
679	759	357
680	759	355
681	760	354
682	761	353
683	761	352
684	762	350
685	763	349
686	764	348
687	765	346
688	765	345
689	766	344
690	767	343
691	768	341
692	768	340
693	770	339
694	771	338
695	771	337
696	772	335
697	773	334
698	774	333
699	775	332
